#{"t_start": 1783930416.1586635, "env_id": "None"}
r,l,t
-162.117149,223,2516.968626
-212.159299,216,2519.671182
-248.582052,246,2522.7745
-173.285308,229,2526.135737
-316.019886,299,2530.474806
-271.795895,281,2534.152997
-203.535855,228,2537.497659
-280.095177,256,2541.387432
-116.690593,200,2544.367595
-233.339075,247,2548.230181
-314.652847,277,2552.549868
-139.937298,188,2555.492544
-249.51467,250,2559.216092
-323.458641,286,2563.627689
62.927474,115,2565.558282
-359.9226,301,2569.871186
66.425368,108,2571.320286
-143.522459,201,2574.211374
-212.537994,243,2578.013892
-216.073965,267,2581.72364
-229.302322,251,2585.260355
-159.139283,202,2588.632574
-164.473183,202,2591.386573
-196.289319,225,2594.500605
73.022293,104,2595.841581
1.279899,156,2598.180485
-255.379714,251,2601.23942
-275.666354,282,2604.696337
-228.089262,243,2607.94516
-227.978024,257,2611.317852
-294.666623,283,2614.832985
-313.334053,282,2620.665898
-372.255363,298,2624.454803
65.536171,113,2625.903972
-260.27829,264,2629.185774
-264.882588,261,2632.544085
-222.376994,274,2635.961529
-344.269331,313,2640.255161
-203.001644,236,2643.182039
-160.39583,195,2645.562464
-270.017747,259,2648.846574
-221.514561,218,2651.616964
-121.674005,190,2654.089355
-1000.255152,4,2654.140152
-191.774366,235,2657.133177
84.417211,102,2658.61055
-287.026346,293,2662.669564
-303.587478,254,2666.247928
51.38769,116,2668.380031
-345.991458,276,2672.33375
-177.580136,227,2675.134526
-212.11272,236,2678.193358
-198.74239,241,2681.233995
-171.981939,215,2683.962841
-195.512393,213,2686.838315
-202.326539,232,2690.13073
-229.956505,237,2694.196893
-290.594223,299,2698.599892
-315.265357,290,2702.132405
-229.278165,268,2705.368452
-239.451159,260,2708.506018
-257.641913,274,2711.925591
-197.51605,243,2715.176596
-335.001284,282,2718.889982
-167.5006,213,2722.182019
-256.092091,265,2725.800617
-304.701478,278,2730.70243
66.3297,107,2732.253055
-409.324902,320,2737.37276
-228.00056,224,2741.00089
34.951617,131,2742.834566
-245.987976,233,2745.900593
-382.375239,283,2749.416727
-216.923618,248,2752.732866
-328.218004,282,2758.847439
-229.272969,234,2761.874293
-160.763629,196,2764.429355
-255.463369,272,2767.676876
-443.817128,320,2771.716393
-419.929396,320,2775.487605
-375.580809,276,2778.67847
-17.602482,161,2780.60727
-361.305913,279,2783.999044
-308.821267,262,2788.425458
-438.240477,320,2793.195672
-134.60402,196,2795.859123
-169.161925,201,2798.727331
-298.421476,264,2802.958762
-289.388103,289,2807.157012
-390.142243,320,2811.137492
76.094727,107,2812.541692
18.224951,145,2814.562215
-266.350775,268,2818.157655
79.998219,106,2819.448452
-169.776152,219,2822.152298
-238.283763,261,2825.574971
-363.140372,320,2829.797202
-143.259922,194,2832.391052
-192.227861,263,2835.774217
-232.698858,234,2838.638075
-260.194575,257,2841.80221
-104.499755,165,2843.935225
-97.146804,167,2846.034256
-223.141353,244,2850.14924
61.929144,112,2851.859894
-190.682861,213,2854.970995
-291.141048,272,2858.397112
73.512973,109,2859.70258
-188.53225,243,2862.721926
-216.689641,227,2865.421617
-195.938796,224,2868.520971
-319.533824,303,2872.745063
-294.004024,251,2876.01417
75.260506,104,2877.518057
77.61305,104,2878.880624
-269.802052,271,2882.259326
-141.559488,202,2884.761385
-282.808823,275,2890.147542
80.804416,105,2891.490204
-221.238236,231,2894.266496
-243.577068,279,2897.611925
-95.409502,176,2899.722814
-277.34426,282,2903.49563
-243.165118,244,2906.973762
-330.655419,287,2910.863838
-132.877737,208,2913.313135
45.543702,120,2914.681566
